epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5773,2.36824,7.40527,1.2796,8e-05,0.02174,5e-05,0,1.77274,5.31456,0.93111,3.334e-05,3.334e-05,3.334e-05
2,3.49248,2.48127,8.14719,1.2229,0,0,0,0,1.85797,5.35198,0.94866,8.25248e-05,8.25248e-05,8.25248e-05
3,4.50198,1.46766,7.57133,0.82808,9e-05,0.02174,5e-05,0,2.08869,5.18055,0.97775,0.000130719,0.000130719,0.000130719
4,5.49402,2.09696,8.82347,1.06521,0.00028,0.06522,0.00016,4e-05,1.9823,5.04478,0.93546,0.000177924,0.000177924,0.000177924
5,6.4435,2.00842,6.5796,1.0775,0.0015,0.34783,0.00144,0.00074,1.74594,4.75872,0.8282,0.000224138,0.000224138,0.000224138
6,7.35587,1.15872,6.38574,0.65959,0.00116,0.28261,0.00113,0.00056,1.57351,4.39421,0.79906,0.000269362,0.000269362,0.000269362
7,8.28922,1.48587,4.2412,0.91737,0.00132,0.30435,0.00118,0.00061,1.33895,4.16751,0.76076,0.000313596,0.000313596,0.000313596
8,9.18573,1.81955,5.5996,0.96342,0.00156,0.34783,0.00147,0.00079,1.31875,4.18155,0.76958,0.00035684,0.00035684,0.00035684
9,10.1157,0.93914,5.29867,0.6015,0.00156,0.32609,0.00135,0.00069,1.4141,4.16512,0.79434,0.000399093,0.000399093,0.000399093
10,11.1342,2.21471,4.91976,1.08767,0.00164,0.32609,0.00138,0.00071,1.44515,4.19921,0.78032,0.000440356,0.000440356,0.000440356
11,12.0822,1.56619,4.70081,0.96866,0.00122,0.26739,0.00087,0.0004,1.75109,4.22234,0.8166,0.000480629,0.000480629,0.000480629
12,13.0244,1.33658,3.44462,0.83769,0.00067,0.13043,0.00042,0.00023,1.72099,4.14585,0.82322,0.000519912,0.000519912,0.000519912
13,13.9288,1.66746,4.5142,0.9264,0.00022,0.04348,0.00012,6e-05,1.5421,4.10089,0.80511,0.000558205,0.000558205,0.000558205
14,14.8511,1.46986,3.46693,0.88286,0.00022,0.04348,0.00012,6e-05,1.40508,4.2073,0.80953,0.000595507,0.000595507,0.000595507
15,15.7882,1.72253,4.109,0.90683,0.00032,0.06522,0.00018,0.0001,1.54069,4.0999,0.88287,0.00063182,0.00063182,0.00063182
16,16.67,1.33736,4.86821,0.80902,0.00053,0.1087,0.00032,0.00019,1.57533,3.9513,0.89673,0.000667142,0.000667142,0.000667142
17,17.5893,1.39052,3.99305,0.9303,0.00095,0.19565,0.00066,0.00042,1.62873,3.93602,0.90692,0.000701474,0.000701474,0.000701474
18,18.511,1.3031,3.56316,0.8555,0.00174,0.53913,0.08548,0.03754,1.65973,3.81801,0.91383,0.000734815,0.000734815,0.000734815
19,19.4409,1.27911,3.02133,0.91611,0.00224,0.70435,0.34924,0.14716,1.58546,3.59975,0.88717,0.000767167,0.000767167,0.000767167
20,20.3723,0.90647,4.51063,0.59609,0.00312,0.95652,0.52039,0.29746,1.44369,3.39935,0.81822,0.000798528,0.000798528,0.000798528
21,21.3236,1.39171,4.25911,0.88533,0.00332,1,0.69097,0.48357,1.41376,3.23583,0.80956,0.000828899,0.000828899,0.000828899
22,22.2588,1.17439,2.33321,0.87053,0.00314,0.9,0.42449,0.28744,1.41424,3.22185,0.81741,0.00085828,0.00085828,0.00085828
23,23.2374,1.44646,3.04808,0.81906,0.00224,0.70435,0.08513,0.05372,1.60944,3.35766,0.86884,0.000886671,0.000886671,0.000886671
24,24.1536,1.23841,2.84019,0.90068,0.00266,0.7913,0.08371,0.05513,1.56096,3.46507,0.85512,0.000914071,0.000914071,0.000914071
25,25.2457,1.32512,2.70029,0.82623,0.03498,0.73261,0.05011,0.03553,1.26378,3.33875,0.76497,0.000940481,0.000940481,0.000940481
26,26.14,1.56061,3.04258,0.96295,0.03617,0.46522,0.06157,0.04121,1.1706,3.22012,0.74213,0.000965901,0.000965901,0.000965901
27,27.125,1.79582,4.25355,0.98885,0.04873,0.35,0.08997,0.05625,1.13938,3.56204,0.72087,0.000990331,0.000990331,0.000990331
28,28.0679,1.2341,3.65771,0.73378,0.09323,0.35,0.11224,0.06589,1.15314,4.77171,0.71923,0.00101377,0.00101377,0.00101377
29,29.0168,1.09738,2.48892,0.85361,0.09323,0.35,0.11224,0.06589,1.15314,4.77171,0.71923,0.00103622,0.00103622,0.00103622
30,29.9101,1.05789,1.94584,0.86343,0.20075,0.33603,0.3256,0.21256,1.16937,3.34934,0.72891,0.00105768,0.00105768,0.00105768
31,30.8878,1.08839,1.93961,0.85812,0.16434,0.61448,0.41476,0.28421,1.07435,2.43922,0.71193,0.00107815,0.00107815,0.00107815
32,31.9984,1.16586,2.14872,0.84344,0.13752,0.76192,0.16226,0.11231,0.92563,2.46293,0.6921,0.00109763,0.00109763,0.00109763
33,32.9549,1.38989,3.55755,0.90619,0.13752,0.76192,0.16226,0.11231,0.92563,2.46293,0.6921,0.00111612,0.00111612,0.00111612
34,33.9009,1.6556,3.20703,0.92891,0.10459,0.75652,0.11106,0.0811,0.92881,3.60667,0.69224,0.00112239,0.00112239,0.00112239
35,34.792,1.18718,2.83407,0.82241,0.5626,0.96895,0.82929,0.60716,0.96001,2.03445,0.69895,0.00110589,0.00110589,0.00110589
36,35.7621,0.9231,1.85474,0.80813,0.70971,0.87422,0.97,0.69096,0.89334,2.11533,0.68815,0.00108938,0.00108938,0.00108938
37,36.6507,1.09296,2.30053,0.8603,0.70971,0.87422,0.97,0.69096,0.89334,2.11533,0.68815,0.00107288,0.00107288,0.00107288
38,37.6164,0.95553,1.8584,0.81866,0.36183,0.79559,0.63765,0.45113,0.94983,2.14644,0.69606,0.00105638,0.00105638,0.00105638
39,38.5588,1.35285,2.36877,0.84645,0.67155,0.8413,0.66379,0.49745,0.79134,1.79168,0.68453,0.00103987,0.00103987,0.00103987
40,39.4552,0.63803,3.10332,0.54164,0.97203,0.99184,0.98417,0.73344,0.82824,1.3016,0.68793,0.00102337,0.00102337,0.00102337
41,40.5338,1.00073,1.69105,0.88432,0.97203,0.99184,0.98417,0.73344,0.82824,1.3016,0.68793,0.00100687,0.00100687,0.00100687
42,41.5135,0.96143,1.69087,0.87337,0.99547,0.99189,0.995,0.70249,0.80438,1.40154,0.69294,0.000990365,0.000990365,0.000990365
43,42.4789,0.77767,1.74216,0.86065,1,0.99229,0.995,0.67759,0.90372,1.5266,0.69766,0.000973861,0.000973861,0.000973861
44,43.456,0.99198,2.1214,0.92193,0.9786,0.98954,0.995,0.72189,0.85998,1.41258,0.68289,0.000957358,0.000957358,0.000957358
45,44.3288,1.17744,2.10303,0.855,0.9786,0.98954,0.995,0.72189,0.85998,1.41258,0.68289,0.000940855,0.000940855,0.000940855
46,45.2184,0.65492,3.1655,0.58691,0.97417,0.99765,0.995,0.75231,0.84442,1.1983,0.67701,0.000924352,0.000924352,0.000924352
47,46.1253,0.66249,3.06882,0.568,0.9851,1,0.995,0.73438,0.89082,1.11057,0.68567,0.000907848,0.000907848,0.000907848
48,47.1093,1.32064,1.89475,0.84472,0.99409,1,0.995,0.66979,0.98299,1.14969,0.70675,0.000891345,0.000891345,0.000891345
49,47.9976,0.98944,1.76399,0.79412,0.99409,1,0.995,0.66979,0.98299,1.14969,0.70675,0.000874842,0.000874842,0.000874842
50,48.9139,1.32889,2.13573,0.8289,0.99193,1,0.995,0.65155,0.92781,1.11425,0.69842,0.000858338,0.000858338,0.000858338
51,49.8365,1.22297,1.9806,0.873,0.99533,1,0.995,0.70913,0.80077,1.13893,0.67925,0.000841835,0.000841835,0.000841835
52,50.7583,1.02941,1.9244,0.82276,0.98403,0.99818,0.995,0.76491,0.64818,1.06133,0.67406,0.000825332,0.000825332,0.000825332
53,51.6695,1.18239,2.14196,0.8885,0.98403,0.99818,0.995,0.76491,0.64818,1.06133,0.67406,0.000808828,0.000808828,0.000808828
54,52.5861,0.9438,1.64292,0.78654,0.97106,1,0.995,0.77776,0.71288,1.05451,0.67692,0.000792325,0.000792325,0.000792325
55,53.485,0.96789,2.2603,0.85304,0.97479,1,0.995,0.7858,0.67488,0.97132,0.67021,0.000775822,0.000775822,0.000775822
56,54.5218,0.64377,2.95162,0.55849,0.98206,1,0.995,0.75015,0.6743,0.95306,0.67085,0.000759318,0.000759318,0.000759318
57,55.3858,0.98285,1.74784,0.78633,0.98206,1,0.995,0.75015,0.6743,0.95306,0.67085,0.000742815,0.000742815,0.000742815
58,56.3251,0.88999,1.66255,0.76844,0.98819,1,0.995,0.77164,0.63769,0.89868,0.66976,0.000726312,0.000726312,0.000726312
59,57.2971,0.95623,1.9379,0.80329,0.9915,1,0.995,0.79745,0.68732,0.9243,0.66903,0.000709809,0.000709809,0.000709809
60,58.3002,0.90506,1.57747,0.88513,0.9882,1,0.995,0.78539,0.77609,1.07716,0.67444,0.000693305,0.000693305,0.000693305
61,59.2614,0.82945,1.27151,0.8438,0.9882,1,0.995,0.78539,0.77609,1.07716,0.67444,0.000676802,0.000676802,0.000676802
62,60.184,0.59587,2.53668,0.53589,0.98572,1,0.995,0.79868,0.83014,1.08763,0.68057,0.000660299,0.000660299,0.000660299
63,61.1434,1.0652,1.58633,0.83241,0.98462,1,0.995,0.79024,0.79291,1.05072,0.67729,0.000643795,0.000643795,0.000643795
64,62.1036,0.95846,1.68101,0.83109,0.98154,1,0.995,0.78108,0.80546,0.99741,0.67796,0.000627292,0.000627292,0.000627292
65,63.0249,0.83216,1.62228,0.89169,0.98154,1,0.995,0.78108,0.80546,0.99741,0.67796,0.000610789,0.000610789,0.000610789
66,63.9978,0.85624,2.90218,0.78841,0.9795,1,0.995,0.77323,0.89653,0.96394,0.67935,0.000594286,0.000594286,0.000594286
67,64.922,0.90365,1.63249,0.76442,0.98306,1,0.995,0.76916,0.90333,0.94666,0.67389,0.000577782,0.000577782,0.000577782
